"Date","Time","TimeZone","Name","Type","Status","Currency","Gross","Fee","Net","From Email Address","To Email Address","Transaction ID","Shipping Address","Address Status","Item Title","Item ID","Shipping and Handling Amount","Insurance Amount","Sales Tax","Option 1 Name","Option 1 Value","Option 2 Name","Option 2 Value","Reference Txn ID","Invoice Number","Custom Number","Quantity","Receipt ID","Balance","Address Line 1","Address Line 2/District/Neighborhood","Town/City","State/Province/Region/County/Territory/Prefecture/Republic","Zip/Postal Code","Country","Contact Phone Number","Subject","Note","Country Code","Balance Impact"
"2026/03/02","02:31:25","PST","REDACTED","Subscription Payment","Completed","USD","6.00","-0.58","5.42","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","","REDACTED","","","","","REDACTED","","","REDACTED","","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","","REDACTED","REDACTED"
"2026/03/02","11:53:00","PST","REDACTED","PreApproved Payment Bill User Payment","Completed","USD","-10.00","0.00","-10.00","REDACTED","REDACTED","REDACTED","","REDACTED","","","REDACTED","","REDACTED","","","","","REDACTED","REDACTED","","REDACTED","","REDACTED","","","","","","","REDACTED","","","","REDACTED"
"2026/03/03","03:55:25","PST","REDACTED","Subscription Payment","Completed","USD","6.00","-0.58","5.42","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","","REDACTED","","","","","REDACTED","","","REDACTED","","REDACTED","REDACTED","","REDACTED","REDACTED","REDACTED","REDACTED","","REDACTED","","REDACTED","REDACTED"
"2026/03/04","04:46:14","PST","REDACTED","Website Payment","Completed","USD","60.00","-3.38","56.62","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","","REDACTED","","","","","","","","REDACTED","REDACTED","REDACTED","REDACTED","","REDACTED","REDACTED","REDACTED","REDACTED","","REDACTED","","REDACTED","REDACTED"
"2026/03/04","23:47:35","PST","REDACTED","Express Checkout Payment","Completed","USD","-7.00","0.00","-7.00","REDACTED","REDACTED","REDACTED","","REDACTED","REDACTED","","REDACTED","","REDACTED","","","","","","","","REDACTED","","REDACTED","","","","","","","REDACTED","REDACTED","","","REDACTED"
"2026/03/05","07:35:07","PST","REDACTED","Website Payment","Completed","USD","60.00","-3.38","56.62","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","","REDACTED","","","","","","","","REDACTED","","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","","REDACTED","","REDACTED","REDACTED"
"2026/03/05","10:46:09","PST","REDACTED","Website Payment","Completed","USD","-150.00","0.00","-150.00","REDACTED","REDACTED","REDACTED","","REDACTED","","","REDACTED","","REDACTED","","","","","","REDACTED","","REDACTED","","REDACTED","","","","","","","REDACTED","","","","REDACTED"
"2026/03/06","03:33:42","PST","REDACTED","Subscription Payment","Completed","USD","6.00","-0.64","5.36","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","","REDACTED","","","","","REDACTED","","","REDACTED","","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","","REDACTED","REDACTED"
"2026/03/07","02:00:43","PST","REDACTED","Subscription Payment","Completed","USD","6.00","-0.64","5.36","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","REDACTED","","REDACTED","","","","","REDACTED","","","REDACTED","","REDACTED","REDACTED","","REDACTED","","REDACTED","REDACTED","","REDACTED","","REDACTED","REDACTED"
